RATING,TITLE,VERIFIED,TEXT,DATE
5.0 out of 5 stars,Good highlighters,Verified Purchase,"I bought these highlighter set because Stabilo highlighters have been really good based on my past experience. And when I saw that they do pastel colours I wanted to give it a try. Its essentially their original colours but lighter. I like it. I haven't used it a lot. Its not as straining for the eyes to read the highlighted sentences with these lighter colours rather than some of the other original darker colours. And its a nice change. I would still use their original colours too!Update September 2020:I've been using these highlighters for 1 year 3 months. The colours are lovely, light and very pleasing to the eye. Definitely pastel colours. I am very happy with it.",Reviewed in the United Kingdom on 9 June 2019
5.0 out of 5 stars,Great colours for use as highlighters or for journaling or ...,Verified Purchase,"Great colours for use as highlighters or for journaling or more general art and crafts. As highlighters, I like these as the colours are softer on they eye  than the original colours. Haven't owned them for very long so can't comment on how well they will last, but very pleased with them at present.",Reviewed in the United Kingdom on 10 April 2018
5.0 out of 5 stars,Much better colours than the standard bright yellow etc...,Verified Purchase,"My daughter is about to take her GCSE's so we've got through a fair amount of highlighters over the last few months! She likes these because the colours are alternatives to the standard vivid highlighter colours and give greater choice of use.Great value too - at the time of ordering, these were the best price.",Reviewed in the United Kingdom on 26 April 2019
1.0 out of 5 stars,"Not good, would not recommend.",Verified Purchase,"If I could give this zero stars I would. I bought these highlighters on the understanding they would be genuine Stabilo. I compared these 4 highlighters with a 100% genuine one and these have different logo colour, different font and no barcode or info on the reverse. Furthermore, the plastic feels cheap. All these signs ring alarm bells that these are not original Stabilo. Very disappointed.",Reviewed in the United Kingdom on 24 August 2019
5.0 out of 5 stars,Perfect!,Verified Purchase,"I absolutely love the colours of these. They are perfect and they dry quickly. They hardly bleed through pages and are soft enough colours to be very pretty but not super bold like the standard neon type you buy. The tips are great and apply evenly, and the ink doesn’t dry out.",Reviewed in the United Kingdom on 28 October 2017
5.0 out of 5 stars,Love them!,Verified Purchase,Absolutely amazing. I always use these highlighters for my notes as they make them look stunning and instantly make long boring pieces of text easier and more pleasant to look at. I've now found myself using any excuse to use them and I will definitely be reordering when they run out.The only negative is that the yellow is a bit darker than I expected but when used in combination with the other colours it doesn't look as dark as it does on its own.,Reviewed in the United Kingdom on 22 September 2017
5.0 out of 5 stars,Pretty Colours!,Verified Purchase,"I bought these as I needed different colours to analyse some university research. These came promptly, all beautiful colours. I am very pleased with my purchase. Stabilo highlighters do tend to be high quality, and this remains to be the truth.",Reviewed in the United Kingdom on 22 February 2017
3.0 out of 5 stars,"Lasts Well! Bleed Though Not Great, However...",Verified Purchase,"Bought this set a year and a half ago, and they've lasted so well. Beautiful colours. However they ink bleeds through more than I would like, on normal 70/80gsm paper and sometimes even bullet journal paper that absorbs more ink. Even when applying a light highlight without going over twice, when I flip the double-sided sheet over you can see the colours. If i need to go over it again to highlight bits I missed, any parts that get a double application of ink basically bleed through to the other side. Disappointing when using for work of study, and I'll actually sometimes just use felt tips (like Crayola Supertips)! Hope Stabilo can work on that.",Reviewed in the United Kingdom on 13 January 2020
4.0 out of 5 stars,"Lovely colours, good value for money, but just be aware of potential bleed-through!",Verified Purchase,"I have been using these for a couple of days and they are a fantastic range of colours, not too harsh on the eyes which I disliked about the original range, good value for money for the price I bought them.I must say that the ink does tend to bleed through to the other side of the page at the start and end of each stroke, and you can see where the colour has been applied on the other side. This happens even with a light touch, which isn't something I encountered too much with the original colours.  (As I am working through a copious amount of printed notes, I don't think to heavily about the pressure I use, and so with my usual grip there is a fair amount of bleed through). This doesn't bother me too much as I print on one side of the page to annotate the blank side, but I can imagine it would be irritating if there was print on both sides of the page.NB The paper I am using is 80gsm printer paper  - which I think is fairly standard- but I imagine with glossy textbook pages/ journal paper you wouldn't encounter this issue.",Reviewed in the United Kingdom on 21 November 2020
5.0 out of 5 stars,Felt tip markers,Verified Purchase,"I use a range of colours for my work but green and blue are the most frequent so great to be able to choose a single colour.  Have used these for years and always perform and last well.  My local stationers have brought in cheaper markers and stopped doing Stabilo hence my reluctant but successful internet purchase.  You just can't substitute quality.Great service, packaging and delivery.",Reviewed in the United Kingdom on 6 June 2020
5.0 out of 5 stars,I love these highlighters,Verified Purchase,"I love a good highlighter, and Stabilo is obviously one of the most well-known and trusted brands, and that's for good reason. I've never had a problem with their highlighters when using them for general study notes. I particularly like this range of colours as I'd been using the pastel range for quite a while so it was nice to have some vibrancy, and these are very bright! They last me quite well for what I use them for and I would say the price is reasonable given all of this",Reviewed in the United Kingdom on 7 December 2020
5.0 out of 5 stars,Good highlighters,Verified Purchase,"I’ve used Stabilo highlighters for many years and have been impressed by their reliability and longevity. I love the pastel colours of these ones and they were a good price, looking exactly as displayed on the website. The softer colours can help with making distinctions with the regular highligher colours. They are a good size and easy to hold and do not smudge easily. I’m very happy with this purchase",Reviewed in the United Kingdom on 22 February 2020
4.0 out of 5 stars,Nice light colours,Verified Purchase,"Overall:  highlighters are highlighters nothing more nothing less. However, I do love the new colours they are much more practical as they are lighter in colour than the old ones, for that reason I will be buying again.Longevity: I cannot answer this as I have not had them that long to answer, they are still doing what I bought them to do therefore, so far so good.Presentation: What can I say, they came in a packet?",Reviewed in the United Kingdom on 13 November 2019
4.0 out of 5 stars,"Overall, a great product",Verified Purchase,"Whilst the range of colours is limited and some of the shades are very similar, meaning that it may be difficult to differentiate between two of the shades of pink at a quick glance so you couldn't really use them both when using multiple colours to represent different things; I do love the vibrancy and pigmentation of the pens and they are really good quality highlighters which I would definitely recommend to students (these were extremely useful to me when revising for my exams) and the value for money is really good.",Reviewed in the United Kingdom on 11 July 2017
5.0 out of 5 stars,Great range of colours!,Verified Purchase,"Great bright colours!I've used Stabilo highlighters plenty of times over the years and they never disappoint! It's the first time I've purchased the 8 colours wallet and I really like the additional shades.Texture is great, easy to use on notes and textbooks, and they last a long time.",Reviewed in the United Kingdom on 25 October 2017
5.0 out of 5 stars,They last for ages!,Verified Purchase,"These are brilliant highlighters - the best brand, far better than any 'cheaper' rivals.  I cannot remember when I bought my last set like this - it's years and while I may not be a really regular user, they come out for certain jobs and though I've had them years they have never dried up.  They have just come to the end of their life!  I think also, I paid about the same price years on.",Reviewed in the United Kingdom on 9 December 2019
5.0 out of 5 stars,"Nice alternative to the headache-inducing ""neon"" highlighters",Verified Purchase,"Nice alternative to the headache-inducing ""neon"" highlighters.The green, pink and lilac are pretty similar to the colour of the barrel (and what you can see in the photo). The blue is a bit more ""turquoise"" colour which you can't really see in the photo (but is easily distinguished from the green) rather than a 'baby blue'.Very happy with these for my exam revision notes.",Reviewed in the United Kingdom on 19 March 2018
5.0 out of 5 stars,Pretty Pastel Colours,Verified Purchase,"These highlighters are great if you're looking for something a little less glaring than your average highlighter colour. I bought these as a stocking filler for my daughter, who had been looking for some different colour highlighters to add to her pencil case for school. I can also confirm that they wash out of clothing really well too, after she decided to colour test the highlighters on her white leggings!!",Reviewed in the United Kingdom on 4 January 2019
5.0 out of 5 stars,Just beautiful!,TOP 500 REVIEWER|Verified Purchase,These highlighters are so pretty and the subtlety of the pastel colours is so appeasing. My daughter and son love them. They don't dry out quickly and do not overpower the page when making notes.,Reviewed in the United Kingdom on 29 August 2019
5.0 out of 5 stars,"So nice, people steal them",Verified Purchase,"I purchased these when they were on offer. They are lovely - so much nicer than the fluorescent ones that look like you will be able to see them from space. However, there is a problem - they are so nice people keep stealing them! This makes it hard to comment on longevity as they were all pinched by colleagues before I could get them to run out!",Reviewed in the United Kingdom on 23 March 2020
5.0 out of 5 stars,I love these pastel tones,Verified Purchase,Soft colours if you want to move away from more traditional neon highlighter! I love these pastel tones!,Reviewed in the United Kingdom on 20 August 2017
